token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
21049,773GJ29-SG,773GJ29,,-1.000000,100,,NSE,1.000000
21050,780AP33-SG,780AP33,,-1.000000,100,,NSE,1.000000
21123,KICL-BE,KICL,,-1.000000,1,,NSE,50.000000
21162,695AS30-SG,695AS30,,-1.000000,100,,NSE,1.000000
21194,855TCAPS27-N7,855TCAPS27,,-1.000000,1,,NSE,1.000000
21214,728GJ29-SG,728GJ29,,-1.000000,100,,NSE,1.000000
21275,SUMMITSEC-EQ,SUMMITSEC,,-1.000000,1,,NSE,10.000000
21276,777HR36-SG,777HR36,,-1.000000,100,,NSE,1.000000
21321,SEITINVIT-IV,SEITINVIT,,-1.000000,25000,,NSE,1.000000
21334,JYOTICNC-EQ,JYOTICNC,,-1.000000,1,,NSE,5.000000
2137,695RJ31-SG,695RJ31,,-1.000000,100,,NSE,1.000000
21339,STEELXIND-EQ,STEELXIND,,-1.000000,1,,NSE,1.000000
21362,SALASAR-EQ,SALASAR,,-1.000000,1,,NSE,1.000000
21427,THEINVEST-EQ,THEINVEST,,-1.000000,1,,NSE,1.000000
2150,697RJ51-SG,697RJ51,,-1.000000,100,,NSE,1.000000
21502,767CG33-SG,767CG33,,-1.000000,100,,NSE,1.000000
21509,767HP34-SG,767HP34,,-1.000000,100,,NSE,1.000000
